;Title, http://www.gcdataconcepts.com, X16-ham, ADXL345, BMP280, GPS
;Version, 2165, Build date, Apr 21 2021,  SN:CCDC2020122BF1D
;Start_time, 2021-05-19, 01:35:48.395
;Uptime, 5,sec,  Vbat, 4144, mv, EOL, 3500, mv
;SampleRate, 25,Hz
;Deadband, 0, counts
;DeadbandTimeout, 5.000,sec
;SampleRate, 25,Hz
;Gps Sats, TOW, 264962800, ver, 1, numSat, 17
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, UNKN, 001, 03, 16, -4096, -13566, 0x004c000f,*
;, GPS , 015, 36, 49, 103, 0, 0x00001213
;, GPS , 016, 01, 00, 4096, 26, 0x00140000
;, UNKN, 058, 00, 00, 4096, 26, 0x22170000
;, UNKN, 235, 00, 00, 4864, 18, 0x271d0000
;, UNKN, 157, 00, 00, 4864, 26, 0x00020600
;, UNKN, 031, 00, 00, 4096, 18, 0x00030600
;, UNKN, 058, 00, 00, 4096, 26, 0x00040600
;, UNKN, 187, 00, 00, 4096, 18, 0x00050600
;, IMES, 202, 00, 00, 4096, 26, 0x00090600
;, GAL , 014, 01, 00, 4096, 18, 0x000a0600
;, UNKN, 059, 01, 00, 4096, 26, 0x000b0600
;, BeDu, 004, 00, 00, 8192, 26, 0x00110600
;, UNKN, 122, 00, 00, 4096, 18, 0x00120600
;, UNKN, 102, 00, 00, 4096, 18, 0x00130600
;, UNKN, 085, 01, 00, 4096, 18, 0x00140600
;, UNKN, 055, 01, 00, 4096, 18, 0xb534a400
;BMP280 SI, 0.000
;Time, Ax, Ay, Az, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1621388149.101109,-1629,-86,1178,84576,24042, 264962.800, 45.2875239,-113.8916090, 1140.980,1159.163, 0.001,0.001
1621388149.140965,-1599,-84,1144, 
1621388149.180821,-1634,-61,1117, 
1621388149.220677,-1613,-125,1167, 
1621388149.260533,-1618,-149,1192, 
1621388149.300389,-1652,-150,1178, 
1621388149.340245,-1582,-115,1173, 
1621388149.380101,-1586,-113,1173, 
1621388149.419956,-1654,-154,1208, 
1621388149.459812,-1647,-42,1174, 
1621388149.499668,-1645,-17,1140,84584,23853, 
1621388149.539524,-1631,-154,1198, 
1621388149.579380,-1604,-124,1182, 
1621388149.619236,-1602,-56,1151, 
1621388149.659092,-1607,-117,1182, 
1621388149.698948,-1616,-84,1165, 
1621388149.738804,-1613,-24,1171, 
1621388149.778660,-1634,-99,1226, 
1621388149.818516,-1649,-115,1192, 
1621388149.858372,-1602,-68,1144, 
1621388149.898228,-1600,-109,1174, 
1621388149.938084,-1613,-143,1201, 
1621388149.977940,-1599,-88,1174, 
1621388150.017796,-1616,-42,1124, 
1621388150.057652,-1620,-83,1142, 
1621388150.097508,-1613,-83,1190, 
1621388150.137364,-1620,-49,1178, 
1621388150.177220,-1613,-77,1180, 
1621388150.217076,-1670,-70,1178, 
1621388150.256932,-1650,-42,1137, 
1621388150.296788,-1532,-45,1142, 
1621388150.336643,-1581,-63,1164, 
1621388150.376499,-1682,-109,1207, 
1621388150.416355,-1666,-74,1226, 
1621388150.456211,-1627,-13,1174, 
1621388150.496067,-1634,-92,1180,84587,23817, 
1621388150.535923,-1615,-109,1192, 
1621388150.575779,-1600,-72,1155, 
1621388150.615635,-1629,-99,1164, 
1621388150.655491,-1582,-56,1165, 
1621388150.695347,-1572,-67,1176, 
1621388150.735203,-1657,-147,1224, 
1621388150.775028,-1652,-58,1180, 
1621388150.814884,-1611,-8,1149, 
1621388150.854740,-1604,-133,1205, 
1621388150.894596,-1604,-122,1201, 
1621388150.934452,-1602,-49,1187, 
1621388150.974278,-1584,-92,1190, 
1621388151.014134,-1609,-92,1155, 
1621388151.053990,-1640,-63,1151, 
1621388151.093846,-1631,-97,1182, 
1621388151.133702,-1607,-77,1187, 
1621388151.173558,-1570,-61,1189, 
1621388151.213413,-1579,-113,1207, 
1621388151.253269,-1599,-77,1199, 
1621388151.293125,-1597,-25,1189, 
1621388151.332981,-1611,-120,1240, 
1621388151.372807,-1606,-134,1265, 
1621388151.412663,-1588,-6,1183, 
1621388151.452519,-1595,-52,1157, 
1621388151.492375,-1618,-122,1201,84586,23795, 
1621388151.532231,-1607,-25,1171, 
1621388151.572087,-1579,-49,1167, 
1621388151.611912,-1602,-136,1224, 
1621388151.651768,-1627,-88,1214, 
1621388151.691624,-1604,-111,1207, 
1621388151.731480,-1550,-125,1212, 
1621388151.771336,-1534,-6,1173, 
1621388151.811192,-1563,-11,1203, 
1621388151.851017,-1593,-108,1264, 
1621388151.890873,-1627,-109,1246, 
1621388151.930729,-1632,-81,1224, 
1621388151.970585,-1593,-108,1228, 
1621388152.010441,-1549,-108,1217, 
1621388152.050297,-1557,-50,1196, 
1621388152.089756,-1586,-95,1210, 
1621388152.129795,-1577,-131,1255, 
1621388152.169651,-1575,-29,1231, 
1621388152.209507,-1579,-50,1215, 
1621388152.249363,-1611,-134,1274, 
1621388152.289219,-1625,-22,1235, 
1621388152.329075,-1545,-31,1199, 
1621388152.368901,-1536,-118,1240, 
1621388152.408757,-1625,-20,1203, 
1621388152.448612,-1620,-104,1255, 
1621388152.488468,-1541,-195,1348,84585,23764, 
1621388152.528324,-1507,-79,1273, 
1621388152.568180,-1547,-50,1190, 
1621388152.608036,-1616,-65,1215, 
1621388152.647862,-1599,-95,1264, 
1621388152.687718,-1527,-47,1237, 
1621388152.727574,-1543,12,1226, 
1621388152.767430,-1588,-93,1299, 
1621388152.807286,-1563,-95,1271, 
1621388152.847142,-1529,-33,1207, 
1621388152.886967,-1550,-83,1260, 
1621388152.926823,-1581,-61,1278, 
1621388152.966679,-1547,1,1251, 
1621388153.006291,-1532,-63,1269, 
1621388153.046391,-1606,-117,1249, 
1621388153.086247,-1595,-33,1198, 
1621388153.126103,-1518,-9,1199, 
1621388153.165928,-1549,-74,1240, 
1621388153.205784,-1572,-63,1264, 
1621388153.245640,-1522,-77,1281, 
1621388153.285496,-1529,-117,1301, 
1621388153.325352,-1556,-54,1253, 
1621388153.365208,-1552,-2,1183, 
1621388153.405064,-1541,8,1199, 
1621388153.444920,-1547,-4,1223, 
1621388153.484562,-1581,-93,1264,84584,23724, 
1621388153.524418,-1561,-75,1305, 
1621388153.564274,-1527,-4,1253, 
1621388153.604130,-1556,-50,1231, 
1621388153.643986,-1586,-34,1248, 
1621388153.683842,-1581,0,1221, 
1621388153.723912,-1563,-13,1198, 
1621388153.763767,-1550,-20,1215, 
1621388153.803623,-1529,-18,1215, 
1621388153.843479,-1582,-6,1203, 
1621388153.883335,-1657,0,1231, 
1621388153.923191,-1609,-6,1260, 
1621388153.963047,-1549,-56,1289, 
1621388154.002659,-1540,-45,1271, 
1621388154.042515,-1552,-4,1221, 
1621388154.082615,-1575,-17,1231, 
1621388154.122471,-1574,21,1240, 
1621388154.162327,-1582,17,1226, 
1621388154.202183,-1579,-17,1228, 
1621388154.242039,-1531,19,1230, 
1621388154.281895,-1549,23,1240, 
1621388154.321751,-1582,-15,1260, 
1621388154.361607,-1572,7,1258, 
1621388154.401463,-1563,32,1246, 
1621388154.441319,-1572,30,1239, 
1621388154.481175,-1579,23,1240,84585,23734, 
1621388154.521031,-1540,26,1224, 
1621388154.560887,-1531,17,1231, 
1621388154.600743,-1541,-56,1283, 
1621388154.640599,-1531,-11,1255, 
1621388154.680455,-1595,98,1190, 
1621388154.720310,-1618,14,1258, 
1621388154.760166,-1572,-6,1299, 
1621388154.799992,-1552,73,1231, 
1621388154.839848,-1529,14,1251, 
1621388154.879704,-1549,-27,1289, 
1621388154.919560,-1549,42,1246, 
1621388154.959416,-1540,80,1215, 
1621388154.999272,-1568,21,1240, 
1621388155.039128,-1565,26,1249, 
1621388155.078984,-1581,71,1242, 
1621388155.118840,-1549,0,1305, 
1621388155.158695,-1506,-15,1315, 
1621388155.198551,-1570,74,1253, 
1621388155.238407,-1575,74,1264, 
1621388155.278263,-1527,49,1278, 
1621388155.318119,-1518,71,1264, 
1621388155.357975,-1524,91,1271, 
1621388155.397831,-1525,101,1285, 
1621388155.437687,-1524,83,1283, 
1621388155.477543,-1547,78,1264,84583,23716, 
1621388155.517430,-1529,83,1276, 
1621388155.557286,-1509,83,1280, 
1621388155.597142,-1540,99,1253, 
1621388155.636997,-1540,99,1258, 
1621388155.676853,-1559,107,1281, 
1621388155.716709,-1566,83,1287, 
1621388155.756565,-1518,82,1289, 
1621388155.796421,-1518,119,1289, 
1621388155.836277,-1557,87,1273, 
1621388155.876133,-1541,91,1255, 
1621388155.915989,-1509,124,1267, 
1621388155.955845,-1524,80,1283, 
1621388155.995701,-1545,85,1281, 
1621388156.035557,-1532,103,1296, 
1621388156.075413,-1524,85,1308, 
1621388156.115269,-1540,92,1301, 
1621388156.155155,-1520,80,1303, 
1621388156.195011,-1490,74,1321, 
1621388156.234867,-1490,85,1294, 
1621388156.274723,-1531,126,1217, 
1621388156.314579,-1591,139,1219, 
1621388156.354435,-1549,48,1303, 
1621388156.394291,-1479,57,1333, 
1621388156.434147,-1500,124,1299, 
1621388156.474003,-1499,78,1299,84585,23676, 
1621388156.513859,-1493,98,1281, 
1621388156.553715,-1543,116,1267, 
1621388156.593571,-1534,0,1346, 
1621388156.633305,-1506,23,1326, 
1621388156.673161,-1534,137,1233, 
1621388156.713017,-1504,69,1267, 
1621388156.752873,-1486,-4,1340, 
1621388156.792729,-1499,26,1349, 
1621388156.832585,-1456,-2,1342, 
1621388156.872441,-1472,-13,1344, 
1621388156.912266,-1507,66,1269, 
1621388156.952122,-1493,66,1249, 
1621388156.991978,-1518,30,1374, 
1621388157.031834,-1547,28,1378, 
1621388157.071690,-1520,-11,1340, 
1621388157.111515,-1490,-54,1410, 
1621388157.151371,-1472,-63,1401, 
1621388157.191227,-1441,-36,1321, 
1621388157.231083,-1424,1,1312, 
1621388157.270939,-1457,-6,1319, 
1621388157.310795,-1484,21,1287, 
1621388157.350651,-1459,39,1303, 
1621388157.390507,-1461,-47,1358, 
1621388157.430363,-1472,-97,1405, 
1621388157.470219,-1415,-43,1401,84585,23653, 
1621388157.510075,-1418,-43,1360, 
1621388157.549931,-1459,-70,1367, 
1621388157.589756,-1456,-24,1351, 
1621388157.629612,-1477,7,1308, 
1621388157.669468,-1454,-24,1351, 
1621388157.709324,-1422,-36,1387, 
1621388157.749180,-1463,-25,1358, 
1621388157.789036,-1427,-77,1403, 
1621388157.828892,-1341,-106,1439, 
1621388157.868748,-1343,-34,1389, 
1621388157.908604,-1368,-54,1423, 
1621388157.948460,-1372,-118,1465, 
1621388157.988316,-1416,-49,1440, 
1621388158.028172,-1457,-2,1426, 
1621388158.068028,-1434,-56,1401, 
1621388158.107884,-1368,-6,1383, 
1621388158.147740,-1231,103,1340, 
1621388158.187596,-1231,26,1349, 
1621388158.227452,-1425,5,1435, 
1621388158.267308,-1495,64,1415, 
1621388158.307163,-1438,-79,1433, 
1621388158.347019,-1397,14,1462, 
1621388158.386875,-1399,316,1342, 
1621388158.426518,-1349,496,1390, 
1621388158.466587,-1286,701,1424, 
1621388158.506230,-1256,942,1292,84576,23674, 
1621388158.546055,-1161,1196,1365, 
1621388158.585911,-1184,1110,1319, 
1621388158.625920,-1195,1026,1067, 
1621388158.665623,-1083,1337,974, 
1621388158.705448,-1088,1396,990, 
1621388158.745548,-1120,1328,757, 
1621388158.785404,-1049,1515,273, 
1621388158.825230,-806,1565,64, 
1621388158.865086,-636,1405,-131, 
1621388158.904942,-654,1655,-840, 
1621388158.944798,-425,1806,-1556, 
1621388158.984623,-83,1042,-2100, 
1621388159.024479,67,501,-2752, 
1621388159.064335,164,58,-2602, 
1621388159.104191,210,-800,-1873, 
1621388159.144047,287,-1047,-1786, 
1621388159.183872,371,-1199,-1700, 
1621388159.223728,435,-1418,-1332, 
1621388159.263584,507,-1170,-1338, 
1621388159.303440,430,-1104,-1604, 
1621388159.343296,267,-877,-1832, 
1621388159.383152,78,-497,-1904, 
1621388159.423008,60,-549,-1882, 
1621388159.462864,232,-652,-1797, 
1621388159.502720,158,-663,-1707,84575,23696, 
1621388159.542576,-11,-240,-2006, 
1621388159.582432,87,119,-2152, 
1621388159.622288,203,8,-1815, 
1621388159.662144,60,301,-1973, 
1621388159.702000,-9,612,-2259, 
1621388159.741856,121,458,-1966, 
1621388159.781712,85,615,-1886, 
1621388159.821568,48,1023,-2050, 
1621388159.861424,153,915,-1907, 
1621388159.901280,178,699,-1884, 
1621388159.941136,130,887,-2102, 
1621388159.980992,121,905,-2168, 
1621388160.020848,198,685,-2038, 
1621388160.060459,235,624,-1856, 
1621388160.100315,132,721,-1918, 
1621388160.140171,41,832,-2056, 
1621388160.180027,76,849,-1888, 
1621388160.219914,171,853,-1727, 
1621388160.259770,199,858,-1818, 
1621388160.299626,164,832,-1811, 
1621388160.339482,69,867,-1852, 
1621388160.379338,32,894,-1913, 
1621388160.419194,76,735,-1807, 
1621388160.459049,96,723,-1863, 
1621388160.498905,107,839,-1927,84570,23686, 
1621388160.539006,73,833,-1929, 
1621388160.578861,94,880,-1920, 
1621388160.618717,119,878,-1911, 
1621388160.658573,107,828,-1915, 
1621388160.698429,91,873,-1911, 
1621388160.738316,103,919,-1934, 
1621388160.778172,169,844,-1813, 
1621388160.818028,76,798,-1847, 
1621388160.857884,26,878,-1929, 
1621388160.897740,107,876,-1881, 
1621388160.937596,121,865,-1931, 
1621388160.977452,157,814,-1822, 
1621388161.017308,146,767,-1811, 
1621388161.057163,74,821,-1988, 
1621388161.097019,103,714,-1970, 
1621388161.136906,144,676,-1881, 
1621388161.176762,146,773,-1868, 
1621388161.216496,151,680,-1902, 
1621388161.256352,119,726,-1941, 
1621388161.296238,57,815,-1975, 
1621388161.336094,23,662,-1973, 
1621388161.375950,33,748,-1938, 
1621388161.415806,19,844,-1920, 
1621388161.455662,-6,692,-1929, 
1621388161.495518,0,751,-1966,84578,23709, 
1621388161.535374,1,790,-1950, 
1621388161.575230,16,646,-1873, 
1621388161.615086,3,687,-1909, 
1621388161.654972,-27,751,-1991, 
1621388161.694828,35,671,-1932, 
1621388161.734654,53,694,-1888, 
1621388161.774540,8,771,-1965, 
1621388161.814366,69,683,-1941, 
1621388161.854222,91,665,-1897, 
1621388161.894078,39,808,-2032, 
1621388161.933934,80,771,-2032, 
1621388161.973789,133,646,-1872, 
1621388162.013401,130,673,-1852, 
1621388162.053257,119,715,-1873, 
1621388162.093113,99,723,-1925, 
1621388162.132969,108,717,-1986, 
1621388162.172795,141,685,-1925, 
1621388162.212651,121,714,-1932, 
1621388162.252507,112,687,-1965, 
1621388162.292362,94,678,-1866, 
1621388162.332218,58,783,-1923, 
1621388162.372074,83,687,-2047, 
1621388162.411900,42,705,-2009, 
1621388162.451756,71,792,-1915, 
1621388162.491612,249,667,-1827, 
1621388162.531468,173,764,-1831, 
; 1621388162.531 stopping logging: shutdown: switched off
