State,Crude.Rate,Expected,,,Chi-Square Components,Test Statistic,P-Value,df,1.5IQR Test upper bound,Outlier?
Alabama,10.1,19.9,-9.8,96.04,4.826130653,577.6829146,0,50,37.25,FALSE
Alaska,21.6,19.9,1.7,2.89,0.1452261307,,,,,FALSE
Arizona,14.2,19.9,-5.7,32.49,1.632663317,,,,,FALSE
Arkansas,10.7,19.9,-9.2,84.64,4.253266332,,,,,FALSE
California,7.6,19.9,-12.3,151.29,7.602512563,,,,,FALSE
Colorado,14.6,19.9,-5.3,28.09,1.411557789,,,,,FALSE
Connecticut,36.4,19.9,16.5,272.25,13.68090452,,,,11,FALSE
Delaware,29.4,19.9,9.5,90.25,4.535175879,,,,25.9,FALSE
District of Columbia,50.1,19.9,30.2,912.04,45.83115578,,,,14.9,TRUE
Florida,21.7,19.9,1.8,3.24,0.1628140704,,,,22.35,FALSE
Georgia,12.9,19.9,-7,49,2.462311558,,,,,FALSE
Hawaii,9,19.9,-10.9,118.81,5.970351759,,,,,FALSE
Idaho,9.7,19.9,-10.2,104.04,5.228140704,,,,,FALSE
Illinois,24.5,19.9,4.6,21.16,1.063316583,,,,,FALSE
Indiana,16.3,19.9,-3.6,12.96,0.6512562814,,,,,FALSE
Iowa,7.8,19.9,-12.1,146.41,7.357286432,,,,,FALSE
Kansas,7.5,19.9,-12.4,153.76,7.726633166,,,,,FALSE
Kentucky,31.6,19.9,11.7,136.89,6.878894472,,,,,FALSE
Louisiana,11.2,19.9,-8.7,75.69,3.803517588,,,,,FALSE
Maine,33.2,19.9,13.3,176.89,8.888944724,,,,,FALSE
Maryland,51,19.9,31.1,967.21,48.60351759,,,,,TRUE
Massachusetts,44.5,19.9,24.6,605.16,30.41005025,,,,,TRUE
Michigan,27.3,19.9,7.4,54.76,2.751758794,,,,,FALSE
Minnesota,11.8,19.9,-8.1,65.61,3.296984925,,,,,FALSE
Mississippi,7.3,19.9,-12.6,158.76,7.977889447,,,,,FALSE
Missouri,26.3,19.9,6.4,40.96,2.058291457,,,,,FALSE
Montana,5.3,19.9,-14.6,213.16,10.71155779,,,,,FALSE
Nebraska,3.3,19.9,-16.6,275.56,13.84723618,,,,,FALSE
Nevada,18.5,19.9,-1.4,1.96,0.09849246231,,,,,FALSE
New Hampshire,39.2,19.9,19.3,372.49,18.71809045,,,,,TRUE
New Jersey,25.5,19.9,5.6,31.36,1.575879397,,,,,FALSE
New Mexico,23,19.9,3.1,9.61,0.4829145729,,,,,FALSE
New York,23.4,19.9,3.5,12.25,0.6155778894,,,,,FALSE
North Carolina,23.7,19.9,3.8,14.44,0.7256281407,,,,,FALSE
North Dakota,12,19.9,-7.9,62.41,3.136180905,,,,,FALSE
Ohio,45.7,19.9,25.8,665.64,33.44924623,,,,,TRUE
Oklahoma,13.3,19.9,-6.6,43.56,2.188944724,,,,,FALSE
Oregon,13.4,19.9,-6.5,42.25,2.123115578,,,,,FALSE
Pennsylvania,25.3,19.9,5.4,29.16,1.465326633,,,,,FALSE
Rhode Island,41.3,19.9,21.4,457.96,23.01306533,,,,,TRUE
South Carolina,18.5,19.9,-1.4,1.96,0.09849246231,,,,,FALSE
South Dakota,7,19.9,-12.9,166.41,8.362311558,,,,,FALSE
Tennessee,24.9,19.9,5,25,1.256281407,,,,,FALSE
Texas,6.2,19.9,-13.7,187.69,9.431658291,,,,,FALSE
Utah,23.9,19.9,4,16,0.8040201005,,,,,FALSE
Vermont,23.5,19.9,3.6,12.96,0.6512562814,,,,,FALSE
Virginia,21.6,19.9,1.7,2.89,0.1452261307,,,,,FALSE
Washington,16.2,19.9,-3.7,13.69,0.6879396985,,,,,FALSE
West Virginia,84.6,19.9,64.7,4186.09,210.3562814,,,,,TRUE
Wisconsin,22.6,19.9,2.7,7.29,0.3663316583,,,,,FALSE
Wyoming,10.8,19.9,-9.1,82.81,4.161306533,,,,,FALSE
,19.9,,,,,,,,,