"Barbour, WV",67.2,1.5IQR upper bound,Outlier?
"Berkeley, WV",90.2,160.35,FALSE
"Boone, WV",142.4,,FALSE
"Braxton, WV",90,,FALSE
"Brooke, WV",86.3,,FALSE
"Cabell, WV",122.3,67.35,FALSE
"Calhoun, WV",46.5,104.55,FALSE
"Clay, WV",62.6,37.2,FALSE
"Doddridge, WV",33.6,55.8,FALSE
"Fayette, WV",78.1,,FALSE
"Gilmer, WV",59.2,,FALSE
"Grant, WV",84.1,,FALSE
"Greenbrier, WV",107.6,,FALSE
"Hampshire, WV",69.2,,FALSE
"Hancock, WV",143.9,,FALSE
"Hardy, WV",80.7,,FALSE
"Harrison, WV",102.9,,FALSE
"Jackson, WV",81.9,,FALSE
"Jefferson, WV",88.4,,FALSE
"Kanawha, WV",111.2,,FALSE
"Lewis, WV",83.2,,FALSE
"Lincoln, WV",53.3,,FALSE
"Logan, WV",194.3,,TRUE
"McDowell, WV",104.4,,FALSE
"Marion, WV",89,,FALSE
"Marshall, WV",117.2,,FALSE
"Mason, WV",81.5,,FALSE
"Mercer, WV",119.3,,FALSE
"Mineral, WV",101.4,,FALSE
"Mingo, WV",96.5,,FALSE
"Monongalia, WV",59.1,,FALSE
"Monroe, WV",42.7,,FALSE
"Morgan, WV",73.6,,FALSE
"Nicholas, WV",134.8,,FALSE
"Ohio, WV",80.7,,FALSE
"Pendleton, WV",83.7,,FALSE
"Pleasants, WV",113.9,,FALSE
"Pocahontas, WV",58.3,,FALSE
"Preston, WV",70.7,,FALSE
"Putnam, WV",95.5,,FALSE
"Raleigh, WV",104.6,,FALSE
"Randolph, WV",95.1,,FALSE
"Ritchie, WV",68,,FALSE
"Roane, WV",94.5,,FALSE
"Summers, WV",115.4,,FALSE
"Taylor, WV",69.8,,FALSE
"Tucker, WV",41.2,,FALSE
"Tyler, WV",51.6,,FALSE
"Upshur, WV",58,,FALSE
"Wayne, WV",67.5,,FALSE
"Webster, WV",61.3,,FALSE
"Wetzel, WV",95.5,,FALSE
"Wirt, WV",38.1,,FALSE
"Wood, WV",109.4,,FALSE
"Wyoming, WV",143.6,,FALSE